Time,CH1
0.0,2.033564
2.0E-6,2.033564
4.0E-6,2.033564
6.0E-6,2.0797954
8.0E-6,2.0797954
1.0E-5,2.0797954
1.2E-5,2.0797954
1.4E-5,2.0797954
1.6E-5,2.0797954
1.8E-5,2.0797954
2.0E-5,2.0797954
2.2E-5,2.0797954
2.4E-5,2.0797954
2.6E-5,0.50792885
2.8E-5,0.13807821
3.0E-5,0.091846466
3.2E-5,0.091846466
3.4E-5,0.091846466
3.6E-5,0.091846466
3.8E-5,0.091846466
4.0E-5,0.091846466
4.2E-5,0.091846466
4.4E-5,0.091846466
4.6E-5,0.091846466
4.8E-5,0.091846466
5.0E-5,0.091846466
5.2E-5,0.091846466
5.4E-5,0.091846466
5.6E-5,1.9411016
5.8E-5,2.033564
6.0E-5,2.033564
6.2E-5,2.033564
6.4E-5,2.0797954
6.6E-5,2.0797954
6.8E-5,2.0797954
7.0E-5,2.0797954
7.2E-5,2.0797954
7.4E-5,2.0797954
7.6E-5,2.0797954
7.8E-5,2.0797954
8.0E-5,2.0797954
8.2E-5,2.0797954
8.4E-5,1.6174817
8.6E-5,0.13807821
8.8E-5,0.091846466
9.0E-5,0.091846466
9.2E-5,0.091846466
9.4E-5,0.091846466
9.6E-5,0.091846466
9.8E-5,0.091846466
1.0E-4,0.091846466
1.02E-4,0.091846466
1.04E-4,0.091846466
1.06E-4,0.091846466
1.08E-4,0.091846466
1.1E-4,0.091846466
1.12E-4,0.091846466
1.14E-4,1.4787879
1.16E-4,2.033564
1.17999996E-4,2.033564
1.2E-4,2.033564
1.22E-4,2.0797954
1.24E-4,2.0797954
1.26E-4,2.0797954
1.28E-4,2.0797954
1.3E-4,2.0797954
1.32E-4,2.0797954
1.34E-4,2.0797954
1.36E-4,2.0797954
1.38E-4,2.0797954
1.4E-4,2.0797954
1.42E-4,2.0797954
1.44E-4,0.3230033
1.46E-4,0.13807821
1.48E-4,0.091846466
1.4999999E-4,0.091846466
1.52E-4,0.091846466
1.54E-4,0.091846466
1.56E-4,0.091846466
1.58E-4,0.091846466
1.6E-4,0.091846466
1.62E-4,0.091846466
1.64E-4,0.091846466
1.66E-4,0.091846466
1.68E-4,0.091846466
1.7E-4,0.091846466
1.72E-4,0.3230033
1.74E-4,1.9873328
1.76E-4,2.033564
1.78E-4,2.033564
1.8E-4,2.033564
1.82E-4,2.0797954
1.84E-4,2.0797954
1.86E-4,2.0797954
1.88E-4,2.0797954
1.9E-4,2.0797954
1.92E-4,2.0797954
1.94E-4,2.0797954
1.96E-4,2.0797954
1.98E-4,2.0797954
2.0E-4,2.0797954
2.02E-4,1.1089368
2.04E-4,0.13807821
2.06E-4,0.091846466
2.08E-4,0.091846466
2.1E-4,0.091846466
2.12E-4,0.091846466
2.14E-4,0.091846466
2.16E-4,0.091846466
2.18E-4,0.091846466
2.2E-4,0.091846466
2.22E-4,0.091846466
2.24E-4,0.091846466
2.26E-4,0.091846466
2.28E-4,0.091846466
2.3E-4,0.091846466
2.32E-4,1.756176
2.34E-4,2.033564
2.3599999E-4,2.033564
2.38E-4,2.033564
2.4E-4,2.0797954
2.42E-4,2.0797954
2.44E-4,2.0797954
2.46E-4,2.0797954
2.48E-4,2.0797954
2.5E-4,2.0797954
2.52E-4,2.0797954
2.54E-4,2.0797954
2.56E-4,2.0797954
2.58E-4,2.0797954
2.6E-4,2.0797954
2.62E-4,0.184309
2.64E-4,0.13807821
2.66E-4,0.091846466
2.68E-4,0.091846466
2.7E-4,0.091846466
2.72E-4,0.091846466
2.74E-4,0.091846466
2.76E-4,0.091846466
2.78E-4,0.091846466
2.8E-4,0.091846466
2.82E-4,0.091846466
2.84E-4,0.091846466
2.86E-4,0.091846466
2.88E-4,0.091846466
2.9E-4,0.8315482
2.92E-4,2.033564
2.94E-4,2.033564
2.96E-4,2.033564
2.98E-4,2.033564
2.9999999E-4,2.0797954
3.02E-4,2.0797954
3.04E-4,2.0797954
3.06E-4,2.0797954
3.08E-4,2.0797954
3.1E-4,2.0797954
3.12E-4,2.0797954
3.14E-4,2.0797954
3.16E-4,2.0797954
3.18E-4,2.0797954
3.2E-4,0.64662313
3.22E-4,0.13807821
3.24E-4,0.091846466
3.26E-4,0.091846466
3.28E-4,0.091846466
3.3E-4,0.091846466
3.32E-4,0.091846466
3.34E-4,0.091846466
3.36E-4,0.091846466
3.38E-4,0.091846466
3.4E-4,0.091846466
3.4199998E-4,0.091846466
3.44E-4,0.091846466
3.46E-4,0.091846466
3.48E-4,0.091846466
3.5E-4,1.8948698
3.52E-4,2.033564
3.54E-4,2.033564
3.56E-4,2.033564
3.58E-4,2.033564
3.6E-4,2.0797954
3.62E-4,2.0797954
3.64E-4,2.0797954
3.66E-4,2.0797954
3.68E-4,2.0797954
3.7E-4,2.0797954
3.72E-4,2.0797954
3.74E-4,2.0797954
3.76E-4,2.0797954
3.78E-4,1.8024073
3.8E-4,0.13807821
3.82E-4,0.091846466
