Time,CH1
0.0,-0.046847343
2.0E-6,0.184309
4.0E-6,0.4154663
6.0E-6,0.64662313
8.0E-6,0.87777996
1.0E-5,1.0627055
1.2E-5,1.2938623
1.4E-5,1.4787879
1.6E-5,1.6637135
1.8E-5,1.8486385
2.0E-5,2.033564
2.2E-5,2.2184901
2.4E-5,2.4034152
2.6E-5,2.542109
2.8E-5,2.727035
3.0E-5,2.8657289
3.2E-5,3.0044227
3.4E-5,3.0968862
3.6E-5,3.1893477
3.8E-5,3.2818112
4.0E-5,3.3742738
4.2E-5,3.4667363
4.4E-5,3.5129685
4.6E-5,3.5591989
4.8E-5,3.5591989
5.0E-5,3.605431
5.2E-5,3.605431
5.4E-5,3.5591989
5.6E-5,3.5129685
5.8E-5,3.5129685
6.0E-5,3.420505
6.2E-5,3.3742738
6.4E-5,3.2818112
6.6E-5,3.1893477
6.8E-5,3.050654
7.0E-5,2.9581914
7.2E-5,2.8194976
7.4E-5,2.6808028
7.6E-5,2.4958777
7.8E-5,2.357184
8.0E-5,2.172258
8.2E-5,1.9873328
8.4E-5,1.8024073
8.6E-5,1.6174817
8.8E-5,1.4325566
9.0E-5,1.2013993
9.2E-5,1.0164738
9.4E-5,0.7853174
9.6E-5,0.5541601
9.8E-5,0.36923456
1.0E-4,0.13807821
1.02E-4,-0.09307861
1.04E-4,-0.32423592
1.06E-4,-0.55539227
1.08E-4,-0.78654957
1.1E-4,-0.9714751
1.12E-4,-1.202632
1.14E-4,-1.387557
1.16E-4,-1.5724826
1.17999996E-4,-1.7574081
1.2E-4,-1.9423337
1.22E-4,-2.1272593
1.24E-4,-2.3121846
1.26E-4,-2.4508786
1.28E-4,-2.6358042
1.3E-4,-2.7744985
1.32E-4,-2.9131925
1.34E-4,-3.0056553
1.36E-4,-3.1443493
1.38E-4,-3.236812
1.4E-4,-3.2830436
1.42E-4,-3.3755062
1.44E-4,-3.4217377
1.46E-4,-3.467969
1.48E-4,-3.467969
1.4999999E-4,-3.5142004
1.52E-4,-3.5142004
1.54E-4,-3.467969
1.56E-4,-3.467969
1.58E-4,-3.4217377
1.6E-4,-3.329275
1.62E-4,-3.2830436
1.64E-4,-3.1905808
1.66E-4,-3.098118
1.68E-4,-3.0056553
1.7E-4,-2.866961
1.72E-4,-2.728267
1.74E-4,-2.589573
1.76E-4,-2.4508786
1.78E-4,-2.2659533
1.8E-4,-2.081028
1.82E-4,-1.8961024
1.84E-4,-1.7111769
1.86E-4,-1.5262513
1.88E-4,-1.3413262
1.9E-4,-1.1564007
1.92E-4,-0.9252434
1.94E-4,-0.694087
1.96E-4,-0.46292973
1.98E-4,-0.27800417
2.0E-4,-0.046847343
2.02E-4,0.184309
2.04E-4,0.4154663
2.06E-4,0.64662313
2.08E-4,0.87777996
2.1E-4,1.0627055
2.12E-4,1.2938623
2.14E-4,1.4787879
2.16E-4,1.6637135
2.18E-4,1.8486385
2.2E-4,2.033564
2.22E-4,2.2184901
2.24E-4,2.4034152
2.26E-4,2.542109
2.28E-4,2.727035
2.3E-4,2.8657289
2.32E-4,3.0044227
2.34E-4,3.0968862
2.3599999E-4,3.1893477
2.38E-4,3.2818112
2.4E-4,3.3742738
2.42E-4,3.4667363
2.44E-4,3.5129685
2.46E-4,3.5591989
2.48E-4,3.5591989
2.5E-4,3.605431
2.52E-4,3.5591989
2.54E-4,3.5591989
2.56E-4,3.5129685
2.58E-4,3.5129685
2.6E-4,3.420505
2.62E-4,3.3742738
2.64E-4,3.2818112
2.66E-4,3.1893477
2.68E-4,3.050654
2.7E-4,2.9581914
2.72E-4,2.8194976
2.74E-4,2.6808028
2.76E-4,2.4958777
2.78E-4,2.357184
2.8E-4,2.172258
2.82E-4,1.9873328
2.84E-4,1.8024073
2.86E-4,1.6174817
2.88E-4,1.4325566
2.9E-4,1.2013993
2.92E-4,1.0164738
2.94E-4,0.7853174
2.96E-4,0.5541601
2.98E-4,0.36923456
2.9999999E-4,0.13807821
3.02E-4,-0.09307861
3.04E-4,-0.32423592
3.06E-4,-0.55539227
3.08E-4,-0.78654957
3.1E-4,-0.9714751
3.12E-4,-1.202632
3.14E-4,-1.387557
3.16E-4,-1.5724826
3.18E-4,-1.7574081
3.2E-4,-1.9423337
3.22E-4,-2.1272593
3.24E-4,-2.3121846
3.26E-4,-2.4971101
3.28E-4,-2.6358042
3.3E-4,-2.7744985
3.32E-4,-2.9131925
3.34E-4,-3.0056553
3.36E-4,-3.1443493
3.38E-4,-3.236812
3.4E-4,-3.2830436
3.4199998E-4,-3.3755062
3.44E-4,-3.4217377
3.46E-4,-3.467969
3.48E-4,-3.467969
3.5E-4,-3.5142004
3.52E-4,-3.5142004
3.54E-4,-3.467969
3.56E-4,-3.467969
3.58E-4,-3.4217377
3.6E-4,-3.329275
3.62E-4,-3.2830436
3.64E-4,-3.1905808
3.66E-4,-3.098118
3.68E-4,-3.0056553
3.7E-4,-2.866961
3.72E-4,-2.728267
3.74E-4,-2.589573
3.76E-4,-2.4508786
3.78E-4,-2.2659533
3.8E-4,-2.081028
3.82E-4,-1.8961024
3.84E-4,-1.7111769
3.86E-4,-1.5262513
3.88E-4,-1.3413262
3.9E-4,-1.1564007
3.92E-4,-0.9252434
3.94E-4,-0.694087
3.96E-4,-0.46292973
3.98E-4,-0.27800417
4.0E-4,-0.046847343
4.02E-4,0.184309
4.04E-4,0.4154663
4.06E-4,0.64662313
4.08E-4,0.87777996
4.1E-4,1.0627055
4.12E-4,1.2938623
4.14E-4,1.4787879
4.16E-4,1.6637135
4.18E-4,1.8486385
4.2E-4,2.033564
4.22E-4,2.2184901
4.24E-4,2.4034152
4.26E-4,2.542109
4.28E-4,2.727035
4.3E-4,2.8657289
4.32E-4,3.0044227
4.34E-4,3.0968862
4.36E-4,3.1893477
4.38E-4,3.3280425
4.4E-4,3.3742738
4.42E-4,3.4667363
4.44E-4,3.5129685
4.46E-4,3.5591989
4.48E-4,3.5591989
4.5E-4,3.605431
4.52E-4,3.5591989
4.54E-4,3.5591989
4.56E-4,3.5129685
4.58E-4,3.5129685
4.6E-4,3.420505
4.62E-4,3.3742738
4.64E-4,3.2818112
4.66E-4,3.1893477
4.68E-4,3.050654
4.7E-4,2.9581914
4.7199999E-4,2.8194976
4.74E-4,2.6808028
4.76E-4,2.4958777
4.78E-4,2.357184
4.8E-4,2.172258
4.82E-4,1.9873328
4.84E-4,1.8024073
4.86E-4,1.6174817
4.88E-4,1.4325566
4.9E-4,1.2013993
4.92E-4,1.0164738
4.94E-4,0.7853174
4.96E-4,0.5541601
4.98E-4,0.36923456
5.0E-4,0.13807821
5.02E-4,-0.09307861
5.04E-4,-0.32423592
5.06E-4,-0.55539227
5.08E-4,-0.78654957
5.1E-4,-0.9714751
5.12E-4,-1.202632
5.14E-4,-1.387557
5.16E-4,-1.5724826
5.18E-4,-1.7574081
5.2E-4,-1.9423337
5.22E-4,-2.1272593
5.24E-4,-2.3121846
5.26E-4,-2.4508786
5.28E-4,-2.6358042
5.3E-4,-2.7744985
5.32E-4,-2.9131925
5.34E-4,-3.0056553
5.36E-4,-3.1443493
5.38E-4,-3.236812
5.4E-4,-3.2830436
5.42E-4,-3.3755062
5.44E-4,-3.4217377
5.46E-4,-3.467969
5.48E-4,-3.467969
5.5E-4,-3.5142004
5.52E-4,-3.5142004
5.54E-4,-3.467969
5.56E-4,-3.467969
5.58E-4,-3.4217377
5.6E-4,-3.329275
5.62E-4,-3.2830436
